Version,Commit Message,SATD
release-0.8.40,TODO: Check if copying is necessary,1
release-0.8.40,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.40,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.39,TODO: Check if copying is necessary,1
release-0.8.39,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.39,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.38.post2,TODO: Check if copying is necessary,1
release-0.8.38.post2,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.38.post2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.38-2,TODO: Check if copying is necessary,1
release-0.8.38-2,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.38-2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.38-1,TODO: Check if copying is necessary,1
release-0.8.38-1,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.38-1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.38,TODO: Check if copying is necessary,1
release-0.8.38,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.38,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.37,TODO: Check if copying is necessary,1
release-0.8.37,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.37,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.36,TODO: Check if copying is necessary,1
release-0.8.36,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.36,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.35,TODO: Check if copying is necessary,1
release-0.8.35,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.35,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
release-0.8.34-rc1,TODO: Check if copying is necessary,1
release-0.8.34-rc1,TODO: Think of a better yet efficient way to handle this.,1
release-0.8.34-rc1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.33,TODO: Check if copying is necessary,1
0.8.33,TODO: Think of a better yet efficient way to handle this.,1
0.8.33,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.32,TODO: Check if copying is necessary,1
0.8.32,TODO: Think of a better yet efficient way to handle this.,1
0.8.32,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.31,TODO: Check if copying is necessary,1
0.8.31,TODO: Think of a better yet efficient way to handle this.,1
0.8.31,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.30,TODO: Check if copying is necessary,1
0.8.30,TODO: Think of a better yet efficient way to handle this.,1
0.8.30,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.29-1,TODO: Check if copying is necessary,1
0.8.29-1,TODO: Think of a better yet efficient way to handle this.,1
0.8.29-1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.29,TODO: Check if copying is necessary,1
0.8.29,TODO: Think of a better yet efficient way to handle this.,1
0.8.29,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.28.wheels,TODO: Check if copying is necessary,1
0.8.28.wheels,TODO: Think of a better yet efficient way to handle this.,1
0.8.28.wheels,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.28,TODO: Check if copying is necessary,1
0.8.28,TODO: Think of a better yet efficient way to handle this.,1
0.8.28,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.27,TODO: Check if copying is necessary,1
0.8.27,TODO: Think of a better yet efficient way to handle this.,1
0.8.27,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.26,TODO: Check if copying is necessary,1
0.8.26,TODO: Think of a better yet efficient way to handle this.,1
0.8.26,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.24,TODO: Check if copying is necessary,1
0.8.24,TODO: Think of a better yet efficient way to handle this.,1
0.8.24,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.23,TODO: Check if copying is necessary,1
0.8.23,TODO: Think of a better yet efficient way to handle this.,1
0.8.23,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.20,TODO: Check if copying is necessary,1
0.8.20,TODO: Think of a better yet efficient way to handle this.,1
0.8.20,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.19,TODO: Check if copying is necessary,1
0.8.19,TODO: Think of a better yet efficient way to handle this.,1
0.8.19,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.18,TODO: Check if copying is necessary,1
0.8.18,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.17,TODO: Check if copying is necessary,1
0.8.17,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.16,TODO: Check if copying is necessary,1
0.8.16,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.15,TODO: Check if copying is necessary,1
0.8.15,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.14,TODO: Check if copying is necessary,1
0.8.14,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.13,TODO: Check if copying is necessary,1
0.8.13,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.12,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.11,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.10,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.9,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.8.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.8,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.6,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.5,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.4,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.3,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
